time,open,high,low,close
2023-04-19 21:00:00+00:00,1.09552,1.09898,1.09336,1.09705
2023-04-20 21:00:00+00:00,1.09680,1.09939,1.09380,1.09893
2023-04-23 21:00:00+00:00,1.09900,1.10502,1.09660,1.10458
2023-04-24 21:00:00+00:00,1.10461,1.10671,1.09642,1.09748
2023-04-25 21:00:00+00:00,1.09724,1.10956,1.09684,1.10405
2023-04-26 21:00:00+00:00,1.10425,1.10635,1.09922,1.10290
2023-04-27 21:00:00+00:00,1.10250,1.10450,1.09626,1.10170
2023-04-30 21:00:00+00:00,1.10207,1.10358,1.09644,1.09770
2023-05-01 21:00:00+00:00,1.09738,1.10080,1.09422,1.10000
2023-05-02 21:00:00+00:00,1.10038,1.10920,1.10006,1.10608
2023-05-03 21:00:00+00:00,1.10589,1.10917,1.09860,1.10132
2023-05-04 21:00:00+00:00,1.10128,1.10479,1.09667,1.10188
2023-05-07 21:00:00+00:00,1.10231,1.10538,1.10001,1.10040
2023-05-08 21:00:00+00:00,1.10037,1.10054,1.09411,1.09605
2023-05-09 21:00:00+00:00,1.09630,1.10070,1.09416,1.09834
2023-05-10 21:00:00+00:00,1.09812,1.09982,1.09002,1.09158
2023-05-11 21:00:00+00:00,1.09158,1.09356,1.08480,1.08498
2023-05-14 21:00:00+00:00,1.08553,1.08910,1.08457,1.08745
2023-05-15 21:00:00+00:00,1.08752,1.09048,1.08550,1.08620
2023-05-16 21:00:00+00:00,1.08636,1.08738,1.08102,1.08390
2023-05-17 21:00:00+00:00,1.08407,1.08482,1.07625,1.07712
2023-05-18 21:00:00+00:00,1.07701,1.08289,1.07600,1.08062
2023-05-21 21:00:00+00:00,1.08078,1.08313,1.07955,1.08130
2023-05-22 21:00:00+00:00,1.08121,1.08206,1.07602,1.07707
2023-05-23 21:00:00+00:00,1.07721,1.08014,1.07481,1.07494
2023-05-24 21:00:00+00:00,1.07510,1.07569,1.07072,1.07250
2023-05-25 21:00:00+00:00,1.07264,1.07588,1.07018,1.07252
2023-05-28 21:00:00+00:00,1.07223,1.07436,1.07055,1.07091
2023-05-29 21:00:00+00:00,1.07118,1.07467,1.06725,1.07342
2023-05-30 21:00:00+00:00,1.07290,1.07358,1.06352,1.06888
2023-05-31 21:00:00+00:00,1.06854,1.07685,1.06618,1.07622
2023-06-01 21:00:00+00:00,1.07643,1.07790,1.07052,1.07078
2023-06-04 21:00:00+00:00,1.07086,1.07224,1.06746,1.07119
2023-06-05 21:00:00+00:00,1.07161,1.07329,1.06670,1.06922
2023-06-06 21:00:00+00:00,1.06936,1.07398,1.06684,1.06985
2023-06-07 21:00:00+00:00,1.06992,1.07872,1.06960,1.07828
2023-06-08 21:00:00+00:00,1.07838,1.07854,1.07430,1.07496
2023-06-11 21:00:00+00:00,1.07492,1.07902,1.07331,1.07580
2023-06-12 21:00:00+00:00,1.07572,1.08237,1.07554,1.07933
2023-06-13 21:00:00+00:00,1.07954,1.08644,1.07740,1.08316
2023-06-14 21:00:00+00:00,1.08320,1.09527,1.08038,1.09455
2023-06-15 21:00:00+00:00,1.09444,1.09708,1.09178,1.09416
2023-06-18 21:00:00+00:00,1.09422,1.09463,1.09072,1.09210
