Name: EURUSD_2023-2024.csv
Initial Account: 25000
Total Trades: 71
Win Rate: 0.5352112676056338
$ (%) Gain:1188.6815134430617(0.04754726053772251)
Max Drawdown: -0.0199980099999999
#, Lot Size, RR, Direction, Entry ($), SL ($), TP ($), W/L, Gain ($), Account ($)
53, 4.414803166686459, 1.3, SELL, 1.1028, 1.1086785714285714, 1.095157857142857, WIN, 259.5273575844977, 26212.263116034268
54, 4.458951198353324, 1.3, SELL, 1.094, 1.0998785714285715, 1.0863578571428572, LOSS, -262.1226311603427, 25950.140484873926
55, 4.414361686369791, 1.3, SELL, 1.0997, 1.1055785714285713, 1.092057857142857, LOSS, -259.50140484873924, 25690.639080025187
56, 4.370218069506093, 1.3, SELL, 1.1057, 1.1115785714285713, 1.098057857142857, LOSS, -256.90639080025187, 25433.732689224933
57, 4.326515888811032, 1.3, SELL, 1.1134, 1.1192785714285713, 1.105757857142857, LOSS, -254.33732689224937, 25179.395362332685
58, 4.283250729922922, 1.3, SELL, 1.1231, 1.1289785714285714, 1.115457857142857, WIN, 251.79395362332684, 25431.189315956013
59, 4.326083237222151, 1.3, SELL, 1.1012, 1.1070785714285714, 1.093557857142857, WIN, 254.3118931595601, 25685.501209115573
60, 4.369344069594373, 1.3, SELL, 1.0857, 1.0915785714285715, 1.0780578571428572, LOSS, -256.85501209115574, 25428.646197024416
61, 4.325650628898429, 1.3, SELL, 1.0924, 1.0982785714285714, 1.084757857142857, WIN, 254.28646197024418, 25682.93265899466
62, 4.368907135187413, 1.3, SELL, 1.0915, 1.0973785714285713, 1.083857857142857, LOSS, -256.8293265899466, 25426.103332404713
63, 4.325218063835538, 1.3, SELL, 1.0937, 1.0995785714285713, 1.086057857142857, WIN, 254.2610333240471, 25680.36436572876
64, 4.368470244473895, 1.3, SELL, 1.0987, 1.1045785714285714, 1.091057857142857, WIN, 256.80364365728764, 25937.16800938605
65, 4.412154946918633, 1.3, SELL, 1.0923, 1.0981785714285714, 1.0846578571428571, WIN, 259.37168009386045, 26196.53968947991
66, 4.45627649638782, 1.3, BUY, 1.0794, 1.0735214285714285, 1.0870421428571428, LOSS, -261.9653968947991, 25934.57429258511
67, 4.411713731423941, 1.3, BUY, 1.0783, 1.0724214285714286, 1.085942142857143, LOSS, -259.345742925851, 25675.228549659256
68, 4.367596594109701, 1.3, BUY, 1.0694, 1.0635214285714285, 1.0770421428571428, WIN, 256.7522854965925, 25931.98083515585
69, 4.411272560050799, 1.3, BUY, 1.0691, 1.0632214285714285, 1.0767421428571429, WIN, 259.3198083515585, 26191.30064350741
70, 4.455385285651308, 1.3, BUY, 1.0814, 1.0755214285714285, 1.0890421428571428, WIN, 261.9130064350741, 26453.213649942485
71, 4.49993913850782, 1.3, SELL, 1.0864, 1.0922785714285714, 1.078757857142857, LOSS, -264.5321364994248, 26188.68151344306
